RollNo.,CS201,CS301,CS302,CS303,M(CS)401,CS401,CS402,CS403,CS501,CS502,CS503,CS504D,CS601,CS602,CS603,CS604A/ CS604B,CS605A
10900113001,6,4,7,6,8,8,8,8,8,8,7,8,8,8,7,6,8
10900113002,8,5,9,9,10,8,8,9,9,10,9,9,8,8,10,7,10
10900113003,9,6,8,6,8,8,8,7,9,9,6,8,8,7,7,5,8
10900113004,7,5,9,8,9,9,8,7,8,8,9,9,9,7,8,6,10
10900113006,7,5,9,8,9,7,7,7,9,9,8,9,8,7,8,7,9
10900113007,8,6,8,5,9,9,7,8,9,8,7,8,8,8,8,6,10
10900113008,7,4,7,4,7,7,6,6,8,6,6,6,7,7,8,6,7
10900113009,8,7,9,8,9,9,8,8,8,9,7,9,9,8,9,7,9
10900113010,4,5,7,5,7,5,6,7,7,6,6,8,7,6,5,6,6
10900113011,6,6,8,6,6,7,5,6,8,7,7,7,8,6,6,6,7
10900113012,5,4,6,4,4,4,4,5,6,4,4,4,5,5,4,4,4
10900113013,8,7,9,8,8,8,8,8,7,9,8,8,7,8,9,7,9
10900113014,7,6,8,6,8,9,8,8,9,8,7,8,8,7,8,8,10
10900113015,8,9,7,7,7,9,9,8,9,8,8,9,9,8,9,7,10
10900113016,8,7,8,6,6,8,5,6,8,9,7,7,7,8,7,5,8
10900113017,9,7,7,7,8,7,7,7,8,8,8,8,8,7,7,6,10
10900113018,8,8,8,6,9,9,8,7,8,10,9,8,9,8,9,8,10
10900113019,8,7,6,7,8,7,7,6,7,8,7,8,7,6,7,5,6
10900113020,7,5,8,6,7,7,6,7,7,6,7,7,8,6,7,7,7
10900113021,6,5,8,6,7,7,6,7,7,7,6,8,7,5,8,7,9
10900113022,8,6,7,6,8,6,4,7,8,9,8,8,7,7,7,7,9
10900113023,8,8,8,6,8,9,8,7,8,8,8,9,8,7,8,7,10
10900113025,5,5,5,4,5,5,4,4,5,4,4,5,7,4,4,5,6
10900113026,8,8,8,9,9,9,9,9,9,8,9,8,8,7,8,8,10
10900113027,9,6,7,7,6,7,8,7,8,7,7,7,8,8,7,6,8
10900113028,6,6,8,6,6,7,8,7,8,7,7,7,7,7,7,6,8
10900113029,7,4,6,5,5,4,8,5,6,5,6,5,8,6,6,6,4
10900113030,8,6,7,7,7,6,6,6,8,7,7,8,8,7,7,6,7
10900113031,8,8,8,7,6,7,9,6,8,7,8,9,8,7,7,5,8
10900113032,5,7,8,6,6,6,9,8,8,7,6,8,8,7,7,5,9
10900113033,10,7,9,7,9,8,10,6,7,8,8,8,8,7,7,5,10
10900113034,6,5,8,6,9,6,7,5,7,8,7,9,8,7,7,4,8
10900113035,6,5,6,4,6,5,5,5,5,5,7,4,7,6,6,4,6
